round,mean,std,min,max
1,82.6767,0.1461,82.47,82.78
2,83.0667,0.419,82.5,83.5
3,83.2467,0.2363,83.06,83.58
4,83.0667,0.8565,82.29,84.26
5,83.41,0.0572,83.33,83.46
